datatime,Tsurf
6/1/23 11:04,18.4762031
6/1/23 11:09,16.30256388
6/1/23 11:14,17.63307685
6/1/23 11:19,17.63521946
6/1/23 11:24,17.74609043
6/1/23 11:29,17.81722525
6/1/23 11:34,17.86147632
6/1/23 11:39,17.89244832
6/1/23 11:44,17.93307862
6/1/23 11:49,17.95684005
6/1/23 11:54,17.97020498
6/1/23 11:59,17.98401549
6/1/23 12:04,18.00044368
6/1/23 12:09,18.02397104
6/1/23 12:14,18.01228182
6/1/23 12:19,18.00748328
6/1/23 12:24,18.05813134
6/1/23 12:29,18.07149206
6/1/23 12:34,18.08618282
6/1/23 12:39,18.07573365
6/1/23 12:44,18.0685294
6/1/23 12:49,18.04174634
6/1/23 12:54,18.09574114
6/1/23 12:59,18.09194341
6/1/23 13:04,18.19152752
6/1/23 13:09,18.33182669
6/1/23 13:14,18.40715506
6/1/23 13:19,18.54848889
6/1/23 13:24,18.76456339
6/1/23 13:29,18.86808633
6/1/23 13:34,18.99673453
6/1/23 13:39,18.99064535
6/1/23 13:44,19.01361645
6/1/23 13:49,19.04296408
6/1/23 13:54,19.08469278
6/1/23 13:59,19.1086842
6/1/23 14:04,19.13022303
6/1/23 14:09,19.19453397
6/1/23 14:14,19.27107405
6/1/23 14:19,19.27930645
6/1/23 14:24,19.26984623
6/1/23 14:29,19.37927315
6/1/23 14:34,19.41402505
6/1/23 14:39,19.41722568
6/1/23 14:44,19.44119581
6/1/23 14:49,19.44715661
6/1/23 14:54,19.43998586
6/1/23 14:59,19.39340826
6/1/23 15:04,19.35876756
6/1/23 15:09,19.31256788
6/1/23 15:14,19.26521573
6/1/23 15:19,19.23651673
6/1/23 15:24,19.17065486
6/1/23 15:29,19.10696291
6/1/23 15:34,19.23206708
6/1/23 15:39,19.51144456
6/1/23 15:44,19.51977238
6/1/23 15:49,19.49361022
6/1/23 15:54,19.47357697
6/1/23 15:59,19.46701767
6/1/23 16:04,19.50363994
6/1/23 16:09,19.49804777
6/1/23 16:14,19.44745673
6/1/23 16:19,19.39714869
6/1/23 16:24,19.36519096
6/1/23 16:29,19.35758539
6/1/23 16:34,19.33797573
6/1/23 16:39,19.30084679
6/1/23 16:44,19.29903507
6/1/23 16:49,19.24275643
6/1/23 16:54,19.26517456
6/1/23 16:59,19.24253378
6/1/23 17:04,19.22901041
6/1/23 17:09,19.22995712
6/1/23 17:14,19.30105463
6/1/23 17:19,19.18922399
6/1/23 17:24,19.27752019
6/1/23 17:29,19.23932193
6/1/23 17:34,19.13419949
6/1/23 17:39,19.15640435
6/1/23 17:44,19.25843114
6/1/23 17:49,19.19535878
6/1/23 17:54,19.07166227
6/1/23 17:59,18.98344063
6/1/23 18:04,19.06017391
6/1/23 18:09,19.03207854
6/1/23 18:14,18.68663271
6/1/23 18:19,18.54815371
6/1/23 18:24,18.4576027
6/1/23 18:29,18.45411295
6/1/23 18:34,18.38902922
6/1/23 18:39,18.34169183
6/1/23 18:44,18.26829659
6/1/23 18:49,18.19706646
6/1/23 18:54,18.1418008
6/1/23 18:59,18.15082647
6/1/23 19:04,18.20626633
6/1/23 19:09,18.14360311
6/1/23 19:14,18.09172957
6/1/23 19:19,18.13225528
6/1/23 19:24,18.10995956
6/1/23 19:29,18.15943525
6/1/23 19:34,18.11729893
6/1/23 19:39,18.1847018
6/1/23 19:44,18.31511971
6/1/23 19:49,18.30691337
6/1/23 19:54,18.30221135
6/1/23 19:59,18.28155906
6/1/23 20:04,18.21197688
6/1/23 20:09,18.09341109
6/1/23 20:14,18.02863948
6/1/23 20:19,18.00087835
6/1/23 20:24,18.02301306
6/1/23 20:29,17.96817665
6/1/23 20:34,17.96860211
6/1/23 20:39,17.92783726
6/1/23 20:44,17.93365127
6/1/23 20:49,17.96315844
6/1/23 20:54,17.99710424
6/1/23 20:59,18.0592132
6/1/23 21:04,17.97898758
6/1/23 21:09,17.96087492
6/1/23 21:14,18.0110055
6/1/23 21:19,17.98292443
6/1/23 21:24,18.06321984
6/1/23 21:29,18.09855038
6/1/23 21:34,18.05364224
6/1/23 21:39,17.95980189
6/1/23 21:44,17.96686278
6/1/23 21:49,18.05128827
6/1/23 21:54,18.10404135
6/1/23 21:59,18.08867609
6/1/23 22:04,18.01967779
6/1/23 22:09,17.97028593
6/1/23 22:14,17.93876639
6/1/23 22:19,17.8925608
6/1/23 22:24,17.8430428
6/1/23 22:29,17.82043185
6/1/23 22:34,17.76276038
6/1/23 22:39,17.7350136
6/1/23 22:44,17.6941519
6/1/23 22:49,17.63336816
6/1/23 22:54,17.59626285
6/1/23 22:59,17.56969956
6/1/23 23:04,17.5242619
6/1/23 23:09,17.48691619
6/1/23 23:14,17.45242378
6/1/23 23:19,17.4350874
6/1/23 23:24,17.39989582
6/1/23 23:29,17.29187018
6/1/23 23:34,17.26230873
6/1/23 23:39,17.20976764
6/1/23 23:44,17.21742939
6/1/23 23:49,17.23648726
6/1/23 23:54,17.26630472
6/1/23 23:59,17.22181967
6/2/23 0:04,17.11808734
6/2/23 0:09,17.11104251
6/2/23 0:14,16.26004473
6/2/23 0:19,13.81368325
6/2/23 0:24,14.55502769
6/2/23 0:29,15.10178292
6/2/23 0:34,14.65139745
6/2/23 0:39,15.03042634
6/2/23 0:44,15.09138423
6/2/23 0:49,15.25920665
6/2/23 0:54,15.90179015
6/2/23 0:59,15.76007182
