"","Date","MonoDStoreMean (kaf)","MonoDStoreSD (kaf)","MonoDStore2.5% (kaf)","MonoDStore25% (kaf)","MonoDStore50% (kaf)","MonoDStore75% (kaf)","MonoDStore97.5% (kaf)","MonoPrecipMean (ft/month)","MonoPrecipSD (ft/month)","MonoPrecip2.5% (ft/month)","MonoPrecip25% (ft/month)","MonoPrecip50% (ft/month)","MonoPrecip75% (ft/month)","MonoPrecip97.5% (ft/month)","MonoEvapMean (ft/month)","MonoEvapSD (ft/month)","MonoEvap2.5% (ft/month)","MonoEvap25% (ft/month)","MonoEvap50% (ft/month)","MonoEvap75% (ft/month)","MonoEvap97.5% (ft/month)","MonoNatRunoffMean (kaf)","MonoNatRunoffSD (kaf)","MonoNatRunoff2.5% (kaf)","MonoNatRunoff25% (kaf)","MonoNatRunoff50% (kaf)","MonoNatRunoff75% (kaf)","MonoNatRunoff97.5% (kaf)","MonoErrorMean (kaf)","MonoErrorSD (kaf)","MonoError2.5% (kaf)","MonoError25% (kaf)","MonoError50% (kaf)","MonoError75% (kaf)","MonoError97.5% (kaf)"
"1",1970-01-01,14.4269620054542,2.50483477356211,9.49871958196359,12.7796839283089,14.4504533581411,16.136789496375,19.2532179189026,0.257518194093348,0.0158349034145521,0.227055508969119,0.246980912831916,0.257322349816148,0.268199270332332,0.288861508562378,0.133459835443702,0.00798272016305217,0.117562670617388,0.128115655941607,0.13356244390081,0.138770821501651,0.148927523388209,6.68188520266089,1.33767344130802,4.1180743348192,5.73574004749558,6.65004347626421,7.59830368416407,9.33811627680142,0.68700929605919,2.91675269382584,-5.07868601557836,-1.25274194684425,0.737871604465431,2.58902873175122,6.41609375317478
"2",1970-02-01,5.22530623793542,2.25018330343231,0.673367838195431,3.74951257103984,5.2755137149463,6.70666693278379,9.60034730937111,0.0744957420236865,0.0168862989268438,0.0408887516851459,0.0631459912607737,0.0748380618897129,0.0858086354694411,0.107271901022727,0.190560847069192,0.0120452687585494,0.16656083653039,0.182729277593668,0.190724744726562,0.198592636698963,0.214044942674956,7.15404658763787,1.12410222132658,5.01710250603687,6.39565259521274,7.10345871022504,7.91879141269127,9.41599783322454,3.69565036805766,2.63895821133367,-1.4766334306128,1.93780976497072,3.70512706362103,5.41785351289547,8.96876471642821
"3",1970-03-01,0.0441242030492862,2.30343319182806,-4.46724841435736,-1.46931641827232,0.0590337217641965,1.57955263473583,4.55055985226122,0.0604533085776585,0.017142843395204,0.0274071898316459,0.0486818514967268,0.0604665925435767,0.0718512064598155,0.0943345185443576,0.293168563710563,0.0148126880428664,0.264795120923349,0.283370616969015,0.293028433501454,0.303022652852256,0.323087235426693,7.1975408462956,0.843131332718684,5.65821989902319,6.60097469750193,7.15679913566548,7.75825109970742,8.92597543071663,3.73928561952504,2.60864352931621,-1.41919687339456,2.03086213064908,3.7719166148348,5.52636218776993,8.63641266362129
"4",1970-04-01,-8.34599716731088,2.27248001085586,-12.7047893803912,-9.90411571943394,-8.35460352678532,-6.7735409759551,-4.02123929222774,0.100508138141127,0.0147289313698242,0.0720156789921897,0.0906722500513839,0.100507452469532,0.110560363280603,0.129935099374591,0.406660719574113,0.0148861565535566,0.376873581102149,0.396818857301273,0.406614165947754,0.416672244302759,0.435341733958303,9.19062490750001,1.17124710056677,6.90618169473989,8.41873304773475,9.18536529249139,9.94586451624547,11.5350712135301,2.07878810099685,2.62864786010915,-3.09259937358151,0.263082647402987,2.11609819882457,3.83273383121915,7.09771392258864
"5",1970-05-01,-3.46226636397765,2.32814000576457,-8.16177064591933,-5.0242309765983,-3.39876442231726,-1.87580401008155,0.955670050801889,0.0241142782270393,0.0126832950715724,0.00307320297367915,0.0145714822563339,0.0229662613830467,0.0324865081938732,0.0509800761899744,0.610486433616276,0.0159956094145749,0.579761684811051,0.599354116092345,0.610600539063227,0.621691279409706,0.641414463598906,26.6270844463211,1.67880080714936,23.3627161861453,25.4817932200514,26.595137679397,27.7581949871843,29.8920526426823,10.4240452588359,2.81203846490595,4.85425666135228,8.55602517998419,10.5064987673852,12.3574484592885,15.7982602037311
"6",1970-06-01,-7.41765128797128,2.34386283851529,-11.9746427299318,-8.95320453718602,-7.41813439269979,-5.91811384267195,-2.56649071810353,0.0632427851069264,0.015548562500274,0.0330830189083167,0.0527540689362699,0.0629597269452864,0.074039223425057,0.0940394188185794,0.70921492954971,0.0151038011148076,0.679550827572271,0.699034906037595,0.708832170503315,0.719708177808381,0.739413718626646,35.4749207280686,1.62230941477767,32.3054885249688,34.3829852119038,35.4798591930754,36.5215996812138,38.6730165958074,6.21143652611594,2.75423481291263,0.935622572676272,4.32972660218678,6.15165725680658,8.07876015018904,11.6406085494787
"7",1970-07-01,-12.9462718159368,2.43729858047406,-17.8762679589647,-14.5256426301185,-12.9388202925569,-11.2977521734294,-8.28413025793586,0.0525247441153885,0.0145053647604254,0.02387475695765,0.0424736055785232,0.0528318123562801,0.0623276972785447,0.0806627624641269,0.853553428860154,0.0144653793791294,0.824510213741761,0.843827981382252,0.853526813598977,0.863619265511945,0.880594236139371,20.2759961232069,1.75402744013108,16.9214836032686,19.1066069956259,20.2787251566331,21.4731179664965,23.6843164358315,15.5037604182011,2.81935204488365,10.1001942834198,13.5631963439971,15.4660953868605,17.4130501382334,20.9546624885344
"8",1970-08-01,-26.3132632670845,2.16762178707213,-30.6433807498026,-27.7352783044404,-26.2836173352457,-24.8799684584605,-22.188521259848,0.0169260593125112,0.00899832278308332,0.00270131889966906,0.0101920318274348,0.015923020951067,0.0227758561819369,0.0365248088088597,0.779305079507417,0.0142486178662697,0.751444494532217,0.769495771521529,0.779368887113022,0.788869447927062,0.807485765172686,7.49075765341356,1.33320022106361,4.86910339376324,6.60504467407018,7.47961328014172,8.37082635428885,10.1399507881243,9.01487618614985,2.54784815485207,3.84033258506798,7.30615172138136,9.14088714861636,10.7852964918557,13.6799762867742
"9",1970-09-01,-24.7596320990478,2.2110647363876,-29.1615293947221,-26.2431349074203,-24.7857194401928,-23.2604302382348,-20.4882337878864,0.0225333475964754,0.0111384619483421,0.00409879559386461,0.0140883715921801,0.0214687925813237,0.0297113318489906,0.0472541520376966,0.586937416625466,0.0142334495478818,0.559531225402153,0.577181659491447,0.587033344828474,0.59661094077235,0.615233084598968,4.67846120695775,1.0596405301884,2.75090179261841,3.93418740280406,4.62179274395744,5.38044177880945,6.93044401587969,3.2077408720156,2.56010963003055,-1.92346290602106,1.49367464647915,3.25793669368055,4.96053333784092,8.08639898995643
"10",1970-10-01,-14.8779133782847,2.17037100497619,-19.0591951645337,-16.389006398417,-14.9232370281394,-13.3674178545744,-10.6303070783552,0.0225350796468522,0.0120013410635084,0.00329422153753309,0.0132939084099093,0.0211984996151911,0.0304823600000772,0.0483417767693876,0.389403703966514,0.01479851315257,0.360987623242568,0.379075682286489,0.389680456084387,0.399370956367761,0.417486724381454,3.37616719053808,0.708477138704034,2.15548442123865,2.88680072756223,3.31637430158038,3.82665867054924,4.87309585805813,5.22498097730412,2.38770989047158,0.527455695784397,3.63339425424351,5.22712988704999,6.84679109678292,9.78660109948131
