"Date","(Observed) Incoming Shortwave (W/ft2)","(Modeled) Incoming Shortwave (W/ft2)","(Modeled) Net Shortwave (W/ft2)","(Modeled) Incoming Longwave (W/ft2)","(Modeled) Net Longwave (W/ft2)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-19 05:00:00",,0.00,,,,"2023-08-19","05","n"
"2023-08-19 06:00:00",,0.00,,,,"2023-08-19","06","n"
"2023-08-19 07:00:00",,0.00,,,,"2023-08-19","07","n"
"2023-08-19 08:00:00",,0.00,,,,"2023-08-19","08","n"
"2023-08-19 09:00:00",,0.00,,,,"2023-08-19","09","n"
"2023-08-19 10:00:00",,0.00,,,,"2023-08-19","10","n"
"2023-08-19 11:00:00",,0.00,,,,"2023-08-19","11","n"
"2023-08-19 12:00:00",,0.00,,,,"2023-08-19","12","n"
"2023-08-19 13:00:00",,0.00,,,,"2023-08-19","13","n"
"2023-08-19 14:00:00",,9.51,,,,"2023-08-19","14","n"
"2023-08-19 15:00:00",,29.60,,,,"2023-08-19","15","n"
"2023-08-19 16:00:00",,49.56,,,,"2023-08-19","16","n"
"2023-08-19 17:00:00",,67.24,,,,"2023-08-19","17","n"
"2023-08-19 18:00:00",,80.77,,,,"2023-08-19","18","n"
"2023-08-19 19:00:00",,89.06,,,,"2023-08-19","19","n"
"2023-08-19 20:00:00",,89.01,,,,"2023-08-19","20","n"
"2023-08-19 21:00:00",,3.89,,,,"2023-08-19","21","n"
"2023-08-19 22:00:00",,37.99,,,,"2023-08-19","22","n"
"2023-08-19 23:00:00",,18.43,,,,"2023-08-19","23","n"
"2023-08-20 00:00:00",,1.03,,,,"2023-08-20","00","n"
"2023-08-20 01:00:00",,0.82,,,,"2023-08-20","01","n"
"2023-08-20 02:00:00",,5.23,,,,"2023-08-20","02","n"
"2023-08-20 03:00:00",,0.00,,,,"2023-08-20","03","n"
"2023-08-20 04:00:00",,0.00,,,,"2023-08-20","04","n"
"2023-08-20 05:00:00",,0.00,,,,"2023-08-20","05","n"
"2023-08-20 06:00:00",,0.00,,,,"2023-08-20","06","n"
"2023-08-20 07:00:00",,0.00,,,,"2023-08-20","07","n"
"2023-08-20 08:00:00",,0.00,,,,"2023-08-20","08","n"
"2023-08-20 09:00:00",,0.00,,,,"2023-08-20","09","n"
"2023-08-20 10:00:00",,0.00,,,,"2023-08-20","10","n"
"2023-08-20 11:00:00",,0.00,,,,"2023-08-20","11","n"
"2023-08-20 12:00:00",,0.00,,,,"2023-08-20","12","n"
"2023-08-20 13:00:00",,0.00,,,,"2023-08-20","13","n"
"2023-08-20 14:00:00",,5.34,,,,"2023-08-20","14","n"
"2023-08-20 15:00:00",,3.54,,,,"2023-08-20","15","n"
"2023-08-20 16:00:00",,3.76,,,,"2023-08-20","16","n"
"2023-08-20 17:00:00",,17.29,,,,"2023-08-20","17","n"
"2023-08-20 18:00:00",,11.04,,,,"2023-08-20","18","n"
"2023-08-20 19:00:00",,6.85,,,,"2023-08-20","19","n"
"2023-08-20 20:00:00",,1.07,,,,"2023-08-20","20","n"
"2023-08-20 21:00:00",,1.96,,,,"2023-08-20","21","n"
"2023-08-20 22:00:00",,1.62,,,,"2023-08-20","22","n"
"2023-08-20 23:00:00",,2.80,,,,"2023-08-20","23","n"
"2023-08-21 00:00:00",,1.82,,,,"2023-08-21","00","n"
"2023-08-21 01:00:00",,0.71,,,,"2023-08-21","01","n"
"2023-08-21 02:00:00",,0.38,,,,"2023-08-21","02","n"
"2023-08-21 03:00:00",,0.00,,,,"2023-08-21","03","n"
"2023-08-21 04:00:00",,0.00,,,,"2023-08-21","04","n"
"2023-08-21 05:00:00",,0.00,,,,"2023-08-21","05","n"
"2023-08-21 06:00:00",,0.00,,,,"2023-08-21","06","n"
"2023-08-21 07:00:00",,0.00,,,,"2023-08-21","07","n"
"2023-08-21 08:00:00",,0.00,,,,"2023-08-21","08","n"
"2023-08-21 09:00:00",,0.00,,,,"2023-08-21","09","n"
"2023-08-21 10:00:00",,0.00,,,,"2023-08-21","10","n"
"2023-08-21 11:00:00",,0.00,,,,"2023-08-21","11","n"
"2023-08-21 12:00:00",,0.00,,,,"2023-08-21","12","n"
"2023-08-21 13:00:00",,0.00,,,,"2023-08-21","13","n"
"2023-08-21 14:00:00",,3.42,,,,"2023-08-21","14","n"
"2023-08-21 15:00:00",,10.05,,,,"2023-08-21","15","n"
"2023-08-21 16:00:00",,25.68,,,,"2023-08-21","16","n"
"2023-08-21 17:00:00",,65.65,,,,"2023-08-21","17","n"
"2023-08-21 18:00:00",,79.70,,,,"2023-08-21","18","n"
"2023-08-21 19:00:00",,88.70,,,,"2023-08-21","19","n"
"2023-08-21 20:00:00",,92.06,,,,"2023-08-21","20","n"
"2023-08-21 21:00:00",,86.74,,,,"2023-08-21","21","n"
"2023-08-21 22:00:00",,75.33,,,,"2023-08-21","22","n"
"2023-08-21 23:00:00",,65.19,,,,"2023-08-21","23","n"
"2023-08-22 00:00:00",,47.42,,,,"2023-08-22","00","n"
"2023-08-22 01:00:00",,27.08,,,,"2023-08-22","01","n"
"2023-08-22 02:00:00",,7.07,,,,"2023-08-22","02","n"
"2023-08-22 03:00:00",,0.00,,,,"2023-08-22","03","n"
"2023-08-22 04:00:00",,0.00,,,,"2023-08-22","04","n"
"2023-08-22 05:00:00",,0.00,,,,"2023-08-22","05","n"
"2023-08-22 06:00:00",,0.00,,,,"2023-08-22","06","n"
"2023-08-22 07:00:00",,0.00,,,,"2023-08-22","07","n"
"2023-08-22 08:00:00",,0.00,,,,"2023-08-22","08","n"
"2023-08-22 09:00:00",,0.00,,,,"2023-08-22","09","n"
"2023-08-22 10:00:00",,0.00,,,,"2023-08-22","10","n"
"2023-08-22 11:00:00",,0.00,,,,"2023-08-22","11","n"
"2023-08-22 12:00:00",,0.00,,,,"2023-08-22","12","n"
"2023-08-22 13:00:00",,0.00,,,,"2023-08-22","13","n"
"2023-08-22 14:00:00",,8.58,,,,"2023-08-22","14","n"
"2023-08-22 15:00:00",,28.10,,,,"2023-08-22","15","n"
"2023-08-22 16:00:00",,47.76,,,,"2023-08-22","16","n"
"2023-08-22 17:00:00",,65.86,,,,"2023-08-22","17","n"
"2023-08-22 18:00:00",,79.50,,,,"2023-08-22","18","n"
"2023-08-22 19:00:00",,88.16,,,,"2023-08-22","19","n"
"2023-08-22 20:00:00",,90.74,,,,"2023-08-22","20","n"
"2023-08-22 21:00:00",,87.56,,,,"2023-08-22","21","n"
"2023-08-22 22:00:00",,78.47,,,,"2023-08-22","22","n"
"2023-08-22 23:00:00",,64.83,,,,"2023-08-22","23","n"
"2023-08-23 00:00:00",,47.04,,,,"2023-08-23","00","n"
"2023-08-23 01:00:00",,26.82,,,,"2023-08-23","01","n"
"2023-08-23 02:00:00",,6.93,,,,"2023-08-23","02","n"
"2023-08-23 03:00:00",,0.00,,,,"2023-08-23","03","n"
"2023-08-23 04:00:00",,0.00,,,,"2023-08-23","04","n"
"2023-08-23 05:00:00",,0.00,,,,"2023-08-23","05","n"
"2023-08-23 06:00:00",,0.00,,,,"2023-08-23","06","n"
"2023-08-23 07:00:00",,0.00,,,,"2023-08-23","07","n"
"2023-08-23 08:00:00",,0.00,,,,"2023-08-23","08","n"
"2023-08-23 09:00:00",,0.00,,,,"2023-08-23","09","n"
"2023-08-23 10:00:00",,0.00,,,,"2023-08-23","10","n"
"2023-08-23 11:00:00",,0.00,,,,"2023-08-23","11","n"
"2023-08-23 12:00:00",,0.00,,,,"2023-08-23","12","n"
"2023-08-23 13:00:00",,0.00,,,,"2023-08-23","13","n"
"2023-08-23 14:00:00",,8.49,,,,"2023-08-23","14","n"
"2023-08-23 15:00:00",,28.34,,,,"2023-08-23","15","n"
"2023-08-23 16:00:00",,48.46,,,,"2023-08-23","16","n"
"2023-08-23 17:00:00",,66.45,,,,"2023-08-23","17","n"
"2023-08-23 18:00:00",,80.33,,,,"2023-08-23","18","n"
"2023-08-23 19:00:00",,88.98,,,,"2023-08-23","19","n"
"2023-08-23 20:00:00",,91.64,,,,"2023-08-23","20","n"
"2023-08-23 21:00:00",,89.08,,,,"2023-08-23","21","n"
