"date","PET"
2023-09-01,0.136530118670662
2023-09-02,0.0982929854745529
2023-09-04,0.136961033099918
2023-09-05,0.171369936837011
2023-09-06,0.174252382846303
2023-09-07,0.178570556745945
2023-09-08,0.186238105273077
2023-09-09,0.149948447925819
2023-09-10,0.137949199118348
2023-09-11,0.154227765777515
2023-09-12,0.156160884646389
2023-09-13,0.155874055886515
2023-09-14,0.159441187668327
2023-09-15,0.157540005877107
2023-09-16,0.159295663995209
2023-09-17,0.160876786596866
2023-09-18,0.163239272969492
2023-09-19,0.153500874660962
2023-09-20,0.140255690501843
2023-09-21,0.138039382139766
2023-09-22,0.132044539836595
2023-09-23,0.138089688271543
2023-09-24,0.144130188894131
2023-09-25,0.1434109225064
2023-09-26,0.147696377756766
2023-09-27,0.149798780352091
2023-09-28,0.14722477765048
2023-09-29,0.143610555983041
2023-09-30,0.110511449912406
2023-10-01,0.0684933524299339
2023-10-02,0.0661770172723055
2023-10-03,0.0953764750048579
2023-10-04,0.0976888275693237
2023-10-05,0.10918031039014
2023-10-06,0.117394771542469
2023-10-07,0.131343948285059
2023-10-08,0.12963151620339
2023-10-09,0.116141600695493
2023-10-10,0.113806925675661
2023-10-11,0.0923771885212001
2023-10-12,0.0807832450907023
2023-10-13,0.0905341058812305
2023-10-14,0.102506754976087
2023-10-15,0.104386536322945
2023-10-16,0.117520434652217
2023-10-17,0.113127699304258
2023-10-18,0.107095666214955
2023-10-19,0.109112724373303
2023-10-20,0.108278876337322
2023-10-21,0.108989575370015
2023-10-22,0.100419638401086
2023-10-23,0.0691893002712824
2023-10-24,0.0774170455070087
2023-10-25,0.0797302485655765
2023-10-26,0.0748671587706536
2023-10-27,0.0644211436327789
2023-10-28,0.0644384831479438
2023-10-29,0.0510392975674811
2023-10-30,0.0569507062152862
2023-10-31,0.0625072329228385
2023-11-01,0.0643228801690875
2023-11-02,0.0697862123927264
2023-11-03,0.0747781697313526
2023-11-04,0.0731001473643826
2023-11-05,0.0710738505539359
2023-11-06,0.0516550542213063
2023-11-07,0.0541637505654991
2023-11-08,0.0449949025230251
2023-11-09,0.0434916025142543
2023-11-10,0.0471452797163746
2023-11-11,0.0506659588067887
2023-11-12,0.0583383488304597
2023-11-13,0.0500430620943609
2023-11-14,0.0609569638295632
2023-11-15,0.0574993234160209
2023-11-16,0.0424954184910855
2023-11-17,0.0412921518731351
2023-11-18,0.0355909384298517
2023-11-19,0.0402837843726652
2023-11-20,0.0360739763407462
2023-11-21,0.0390933310683285
2023-11-22,0.0445280686474376
2023-11-23,0.0419028453582065
2023-11-24,0.0323981118769093
2023-11-25,0.0240523332377671
2023-11-26,0.0241052518596004
2023-11-27,0.0275195444828334
2023-11-28,0.0303665574090497
2023-11-29,0.0334732094997845
2023-11-30,0.0315465927385351
